Título,balance-electrico_01-2021_12-2022,,,,,,,,,,,,,,,,,,,,,,,
Sistema eléctrico,NACIONAL,,,,,,,,,,,,,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
 ,ene/21,feb/21,mar/21,abr/21,may/21,jun/21,jul/21,ago/21,sep/21,oct/21,nov/21,dic/21,ene/22,feb/22,mar/22,abr/22,may/22,jun/22,jul/22,ago/22,sep/22,oct/22,nov/22,dic/22
Importación Francia,"1156,84276","207,618401","888,618361","944,4853889999999","1357,7617679999998","1431,2532139999998","1413,9100079999998","1765,279857","1272,570835","909,267163","281,955916","301,687444","519,84937","1212,906506","597,965556","274,867163","464,715035","356,122823","143,167408","32,217664","10,928913","359,522011","257,408635","319,33027899999996"
Importación Portugal,"531,557703","1116,6890349999999","587,906778","491,79317599999996","217,391556","329,293489","223,33186600000002","125,44105","187,778296","201,874425","335,836845","442,879931","254,061541","61,858766","298,92078499999997","243,43559","195,765813","105,237496","70,116504","87,92637699999999","159,139374","227,979504","416,536865","938,641159"
Importación Marruecos,"73,12415","25,9675","60,56456","63,415639999999996","81,74860000000001","57,1209","52,956300000000006","33,1665","27,001330000000003","71,66645","51,173199999999994","90,2808","102,0183","40,0583","61,936800000000005","47,8371","62,4411","15,1648","20,543599999999998","6,2245","9,105","6,2716","20,40194","30,8882"
Importación Andorra,-,-,"0,0008900000000000001","0,0009699999999999999",-,"0,00156","0,0018","0,0019399999999999999","0,00217","0,00283",-,-,-,"0,00102","0,000029999999999999997","0,00228","0,00412",-,-,-,-,-,"0,0004",-
Exportación Francia,"-674,9745899999999","-1192,247836","-721,05765","-530,479416","-316,19773499999997","-111,017136","-147,435842","-14,672153","-78,39583900000001","-139,738291","-1093,752019","-1260,796706","-946,987765","-228,84714300000002","-867,7995890000001","-1057,781223","-843,675122","-619,059595","-1106,9565949999999","-1484,153892","-1763,2293430000002","-1236,969701","-1442,401586","-1781,757198"
Exportación Portugal,"-815,575316","-257,553748","-579,3779499999999","-674,735113","-1048,174096","-653,8190470000001","-781,1524529999999","-1150,742401","-880,459228","-1082,4126769999998","-804,3558149999999","-815,132698","-1025,536349","-1434,858483","-900,282332","-1008,2675","-1087,302663","-1079,413009","-1353,89684","-1122,140969","-1020,317983","-1148,481105","-731,1053270000001","-403,595915"
Exportación Marruecos,"-17,64896","-34,665099999999995","-23,906650000000003","-25,80074","-23,4786","-34,081900000000005","-91,5912","-78,4311","-72,19183","-12,658520000000001","-53,171699999999994","-41,7663","-44,8991","-84,22630000000001","-39,9141","-70,4249","-100,4282","-220,2427","-173,4064","-297,8224","-252,5097","-253,44946","-134,56097","-180,8553"
Exportación Andorra,"-38,418839999999996","-28,39406","-22,893939999999997","-12,11035","-0,00001","-5,128010000000001","-3,55241","-19,021459999999998","-11,13283","-15,19747","-28,63203","-40,65368","-38,48377","-34,804010000000005","-31,12518","-16,537779999999998","-5,35829","-16,53932","-22,25568","-20,35475","-19,77897","-20,359","-20,17605","-39,88017"
Saldo I. internacionales,"214,90690700000002","-162,585808","189,854399","256,56955600000003","269,051483","1013,62307","666,468069","661,022233","445,17290399999996","-67,19609","-1310,945603","-1323,501209","-1179,977773","-467,911344","-880,29803","-1586,86927","-1313,838207","-1458,7295049999998","-2422,688003","-2798,10347","-2876,6627089999997","-2065,486151","-1633,896093","-1117,228945"
Demanda en b.c.,"23909,484893999997","20182,155276","21823,050886999998","19940,221825000004","20346,648963999996","20728,356541","22922,255761","22059,793278999998","20972,956058000003","20197,477971","21433,492692000003","22029,944636999997","22729,295932","20168,155371","21475,748762","19589,011222999998","20301,23267","21330,346608999997","23635,828919","22011,563581","20309,641191","19330,228099000004","19351,584224","20283,038561"
